time;gFx;gFy;gFz;tgF
0;-0.147;-0.8;-0.492;0.951
.0010;-0.147;-0.8;-0.492;0.951
.0140;-0.183;-0.804;-0.461;0.945
.0170;-0.185;-0.816;-0.497;0.973
.0300;-0.201;-0.828;-0.554;1.016
.0370;-0.187;-0.832;-0.597;1.041
.0470;-0.172;-0.825;-0.613;1.042
.0570;-0.166;-0.807;-0.602;1.02
.0670;-0.165;-0.796;-0.577;0.997
.0770;-0.167;-0.791;-0.556;0.981
.1000;-0.172;-0.808;-0.553;0.994
.1010;-0.172;-0.808;-0.553;0.994
.1060;-0.172;-0.816;-0.564;1.007
.1170;-0.174;-0.821;-0.571;1.015
.1270;-0.176;-0.811;-0.57;1.007
.1370;-0.177;-0.81;-0.567;1.004
.1470;-0.177;-0.811;-0.565;1.004
.1570;-0.176;-0.815;-0.562;1.006
.1670;-0.171;-0.822;-0.558;1.008
.1770;-0.168;-0.817;-0.554;1.001
.2030;-0.165;-0.801;-0.536;0.978
.2040;-0.165;-0.801;-0.536;0.978
.2060;-0.169;-0.809;-0.535;0.985
.2160;-0.172;-0.815;-0.54;0.993
.2260;-0.173;-0.82;-0.547;1.001
.2370;-0.171;-0.81;-0.548;0.993
.2460;-0.174;-0.805;-0.549;0.99
.2570;-0.174;-0.806;-0.552;0.992
.2660;-0.17;-0.821;-0.56;1.008
.2770;-0.166;-0.825;-0.567;1.015
.3040;-0.16;-0.815;-0.578;1.012
.3050;-0.16;-0.815;-0.578;1.012
.3070;-0.156;-0.812;-0.572;1.005
.3160;-0.155;-0.813;-0.562;1.0
.3260;-0.155;-0.815;-0.556;0.999
.3370;-0.147;-0.816;-0.558;0.999
.3460;-0.149;-0.827;-0.561;1.01
.3570;-0.148;-0.825;-0.561;1.009
.3660;-0.149;-0.816;-0.56;1.001
.3760;-0.151;-0.814;-0.561;1.0
.4030;-0.144;-0.823;-0.571;1.012
.4030;-0.144;-0.823;-0.571;1.012
.4060;-0.138;-0.828;-0.568;1.014
.4160;-0.138;-0.831;-0.565;1.014
.4260;-0.142;-0.826;-0.559;1.007
.4360;-0.142;-0.819;-0.553;0.998
.4460;-0.139;-0.819;-0.55;0.996
.4560;-0.135;-0.821;-0.551;0.998
.4660;-0.134;-0.811;-0.553;0.991
.4760;-0.133;-0.802;-0.555;0.984
.5030;-0.131;-0.802;-0.561;0.987
.5040;-0.131;-0.802;-0.561;0.987
.5060;-0.134;-0.802;-0.564;0.99
.5160;-0.138;-0.804;-0.56;0.989
.5260;-0.141;-0.798;-0.553;0.981
.5360;-0.139;-0.79;-0.549;0.972
.5460;-0.132;-0.782;-0.55;0.965
.5560;-0.131;-0.773;-0.552;0.959
.5660;-0.122;-0.765;-0.549;0.949
.5760;-0.114;-0.757;-0.546;0.94
.6020;-0.122;-0.739;-0.553;0.931
.6030;-0.122;-0.739;-0.553;0.931
.6050;-0.124;-0.74;-0.562;0.937
.6150;-0.126;-0.743;-0.571;0.945
.6250;-0.117;-0.746;-0.572;0.947
.6360;-0.114;-0.746;-0.576;0.949
.6450;-0.114;-0.757;-0.575;0.957
.6560;-0.11;-0.76;-0.57;0.956
.6650;-0.098;-0.76;-0.585;0.964
.6760;-0.1;-0.771;-0.589;0.975
.7030;-0.105;-0.756;-0.56;0.947
.7030;-0.105;-0.756;-0.56;0.947
.7050;-0.088;-0.766;-0.543;0.943
.7150;-0.084;-0.77;-0.545;0.947
.7250;-0.082;-0.788;-0.537;0.957
.7350;-0.08;-0.804;-0.514;0.958
.7450;-0.078;-0.829;-0.5;0.971
.7550;-0.081;-0.868;-0.494;1.002
.7650;-0.1;-0.885;-0.499;1.021
.7760;-0.097;-0.878;-0.495;1.013
.8020;-0.059;-0.844;-0.474;0.97
.8020;-0.059;-0.844;-0.474;0.97
.8050;-0.047;-0.831;-0.469;0.955
.8150;-0.027;-0.854;-0.463;0.972
.8260;-0.007;-0.865;-0.47;0.984
.8350;-0.001;-0.878;-0.473;0.997
.8450;-0.001;-0.906;-0.473;1.022
.8550;0.0;-0.908;-0.469;1.022
.8650;-0.007;-0.896;-0.465;1.009
.8750;-0.01;-0.889;-0.455;0.999
.9020;0.007;-0.942;-0.404;1.025
.9030;0.007;-0.942;-0.404;1.025
.9040;0.003;-0.968;-0.422;1.056
.9150;0.0;-0.944;-0.421;1.034
.9270;0.002;-0.936;-0.417;1.025
.9350;-0.007;-0.932;-0.419;1.022
.9450;-0.021;-0.919;-0.42;1.011
.9550;-0.024;-0.909;-0.403;0.995
.9640;-0.024;-0.91;-0.374;0.984
.9750;-0.021;-0.917;-0.354;0.983
1.0020;-0.025;-0.926;-0.367;0.996
1.0030;-0.025;-0.926;-0.367;0.996
1.0050;-0.029;-0.929;-0.408;1.015
1.0140;-0.029;-0.922;-0.436;1.02
1.0260;-0.031;-0.894;-0.424;0.99
1.0350;-0.021;-0.877;-0.398;0.963
1.0450;-0.005;-0.885;-0.399;0.971
