time;gFx;gFy;gFz;tgF
0;-0.056;-0.309;-0.999;1.047
.0010;-0.06;-0.328;-0.978;1.033
.0050;-0.06;-0.328;-0.978;1.033
.0120;-0.046;-0.34;-0.956;1.016
.0220;-0.037;-0.32;-0.925;0.979
.0320;-0.058;-0.301;-0.924;0.974
.0420;-0.062;-0.308;-0.909;0.962
.0520;-0.07;-0.32;-0.913;0.97
.0620;-0.077;-0.325;-0.934;0.992
.0720;-0.07;-0.327;-0.944;1.001
.0940;-0.064;-0.332;-0.977;1.034
.0950;-0.064;-0.332;-0.977;1.034
.1020;-0.068;-0.332;-0.974;1.031
.1120;-0.074;-0.33;-0.958;1.016
.1220;-0.077;-0.331;-0.94;1.0
.1320;-0.075;-0.331;-0.934;0.994
.1420;-0.066;-0.333;-0.938;0.998
.1520;-0.061;-0.333;-0.946;1.005
.1620;-0.06;-0.336;-0.956;1.015
.1720;-0.06;-0.338;-0.957;1.017
.1930;-0.06;-0.338;-0.957;1.017
.1940;-0.06;-0.338;-0.957;1.017
.2020;-0.064;-0.342;-0.954;1.015
.2120;-0.068;-0.345;-0.953;1.016
.2220;-0.073;-0.347;-0.949;1.013
.2320;-0.074;-0.349;-0.945;1.01
.2420;-0.072;-0.349;-0.942;1.007
.2520;-0.072;-0.35;-0.939;1.005
.2620;-0.073;-0.35;-0.942;1.008
.2720;-0.074;-0.351;-0.95;1.015
.2940;-0.081;-0.357;-0.946;1.014
.2950;-0.081;-0.357;-0.946;1.014
.3010;-0.082;-0.362;-0.94;1.011
.3120;-0.084;-0.364;-0.953;1.024
.3220;-0.039;-0.364;-0.983;1.049
.3320;-0.055;-0.355;-1.032;1.093
.3410;-0.056;-0.34;-1.058;1.113
.3520;-0.076;-0.33;-1.051;1.104
.3620;-0.104;-0.317;-1.021;1.074
.3710;-0.146;-0.252;-0.995;1.037
.3920;-0.219;-0.206;-1.0;1.044
.3920;-0.219;-0.206;-1.0;1.044
.4010;-0.241;-0.202;-0.991;1.04
.4110;-0.246;-0.193;-0.966;1.015
.4210;-0.257;-0.185;-0.957;1.008
.4320;-0.279;-0.182;-0.979;1.034
.4410;-0.301;-0.179;-0.973;1.034
.4510;-0.306;-0.177;-0.937;1.001
.4610;-0.305;-0.187;-0.885;0.955
.4710;-0.311;-0.21;-0.837;0.917
.4920;-0.292;-0.242;-0.804;0.889
.4930;-0.292;-0.242;-0.804;0.889
.5010;-0.29;-0.25;-0.772;0.862
.5110;-0.291;-0.256;-0.723;0.82
.5210;-0.282;-0.256;-0.68;0.779
.5310;-0.261;-0.268;-0.636;0.738
.5410;-0.248;-0.296;-0.621;0.731
.5510;-0.229;-0.321;-0.653;0.763
.5610;-0.202;-0.329;-0.702;0.801
.5710;-0.149;-0.312;-0.763;0.838
.5930;-0.014;-0.233;-1.046;1.072
.5940;-0.014;-0.233;-1.046;1.072
.6010;0.09;-0.217;-1.324;1.345
