time,gFx,gFy,gFz,tgF
0,0.049,0.454,0.879,0.99
.05,0.064,0.44,0.883,0.989
.1,0.037,0.381,0.99,1.061
.15,0.067,0.393,0.943,1.024
.2,0.1,0.411,0.909,1.003
.25,0.034,0.352,0.878,0.946
.3,0.058,0.34,0.927,0.989
.35,0.093,0.356,0.917,0.988
.4,0.056,0.321,0.891,0.949
.45,0.094,0.323,0.948,1.006
.5,0.068,0.304,0.957,1.007
.55,0.13,0.321,0.959,1.019
.6,0.102,0.294,0.975,1.024
.65,0.103,0.289,0.959,1.006
.7,0.124,0.303,0.969,1.023
.75,0.096,0.296,0.922,0.973
.8,0.11,0.3,0.907,0.961
.85,0.088,0.269,0.932,0.974
.9,0.058,0.26,0.94,0.977
.95,0.042,0.247,0.9,0.934
1.0,0.095,0.256,0.98,1.017
1.05,-0.016,0.201,0.815,0.84
1.1,0.115,0.322,0.84,0.907
1.15,0.1,0.247,1.084,1.116
1.2,0.086,0.189,0.982,1.003
1.25,0.185,0.283,0.889,0.951
1.3,0.072,0.221,0.925,0.954
1.35,0.141,0.251,0.956,0.998
1.4,0.087,0.179,1.145,1.162
1.45,0.119,0.188,1.121,1.143
1.5,0.117,0.2,1.053,1.078
1.55,0.093,0.217,0.95,0.978
1.6,0.074,0.182,0.923,0.943
1.65,0.065,0.159,0.963,0.978
1.7,0.144,0.14,0.997,1.017
1.75,0.09,0.074,1.213,1.219
1.8,0.126,0.087,1.093,1.104
1.85,0.095,0.122,0.939,0.952
1.9,0.07,0.147,0.916,0.93
1.95,0.06,0.135,0.973,0.984
2.0,0.036,0.111,0.991,0.997
2.05,0.065,0.116,1.025,1.033
2.1,0.114,0.115,1.064,1.076
2.15,0.116,0.135,0.993,1.009
2.2,0.114,0.167,0.899,0.921
2.25,0.066,0.181,0.867,0.888
2.3,0.057,0.185,0.933,0.953
2.35,0.058,0.218,0.879,0.908
2.4,0.09,0.139,0.973,0.987
2.45,0.089,0.188,0.945,0.968
2.5,0.077,0.182,0.99,1.009
2.55,0.14,0.167,1.023,1.046
2.6,0.194,0.223,1.02,1.062
2.65,0.18,0.249,0.856,0.909
2.7,0.135,0.193,1.001,1.029
2.75,0.197,0.18,1.032,1.066
2.8,0.147,0.186,0.907,0.937
2.85,0.175,0.178,0.936,0.968
2.9,0.213,0.214,1.071,1.113
2.95,0.222,0.23,0.983,1.034
3.0,0.151,0.232,0.956,0.995
3.05,0.165,0.231,0.928,0.97
3.1,0.049,0.177,0.984,1.001
3.15,0.089,0.171,0.924,0.944
3.2,0.093,0.189,0.926,0.95
3.25,0.119,0.157,0.941,0.961
3.3,0.048,0.073,0.949,0.953
3.35,0.024,0.093,1.121,1.125
3.4,0.065,0.044,0.917,0.92
3.45,-0.168,0.048,0.884,0.901
3.5,-0.163,0.066,1.101,1.115
3.55,0.061,0.046,0.784,0.788
3.6,-0.019,-0.138,1.3,1.308
3.65,0.269,0.292,0.728,0.829
3.7,0.193,0.09,1.531,1.546
3.75,0.328,-0.126,1.369,1.414
3.8,0.319,-0.063,0.857,0.917
3.85,0.222,-0.024,1.114,1.136
3.9,0.133,0.043,0.894,0.905
3.95,-0.228,-0.317,1.181,1.244
4.0,0.243,0.109,0.91,0.948
4.05,0.139,-0.081,0.936,0.949
4.1,-0.003,-0.056,0.95,0.952
4.15,0.046,-0.103,1.029,1.035
4.2,0.088,-0.082,1.053,1.06
4.25,-0.014,-0.089,1.007,1.011
4.3,-0.011,-0.039,0.852,0.853
4.35,-0.078,-0.021,0.996,1.0
4.4,0.239,0.001,0.805,0.84
4.45,0.009,-0.08,1.126,1.129
4.5,0.07,-0.098,1.015,1.022
4.55,-0.004,-0.072,0.902,0.905
4.6,-0.168,-0.248,1.024,1.067
4.65,-0.195,-0.159,0.975,1.007
4.7,-0.367,-0.286,0.816,0.94
4.75,-0.46,-0.176,0.786,0.928
4.8,-0.549,-0.52,0.816,1.112
4.85,-0.597,-0.498,0.626,0.998
4.9,-0.611,-0.552,0.571,1.002
4.95,-0.554,-0.535,0.847,1.145
5.0,-0.747,-0.411,0.639,1.066
5.05,-0.49,-0.682,0.857,1.199
5.1,-0.771,-0.505,0.208,0.944
5.15,-1.005,-0.609,0.343,1.224
5.2,-1.025,-0.518,0.123,1.155
5.25,-0.769,-0.437,0.259,0.922
5.3,-0.654,-0.351,0.223,0.775
5.35,-0.548,-0.322,0.175,0.659
5.4,-0.681,-0.509,0.191,0.872
5.45,-0.702,-0.626,0.135,0.95
5.5,-1.292,-0.687,0.048,1.464
5.55,-0.781,-0.737,0.224,1.097
5.6,-0.685,-0.719,-0.089,0.997
5.65,-0.545,-0.733,-0.031,0.914
5.7,-0.427,-0.683,-0.099,0.812
5.75,-0.412,-0.701,-0.3,0.867
5.8,-0.561,-0.658,-0.071,0.868
5.85,-0.6,-1.192,-0.195,1.348
5.9,-0.345,-1.225,0.029,1.273
5.95,-0.157,-1.108,0.011,1.119
6.0,-0.328,-1.162,0.044,1.208
6.05,-0.137,-0.814,-0.064,0.828
6.1,-0.267,-0.992,0.17,1.041
6.15,-0.331,-0.911,0.095,0.974
6.2,-0.304,-0.927,0.047,0.977
6.25,-0.039,-0.656,0.013,0.657
6.3,-0.209,-0.879,0.108,0.909
6.35,-0.26,-0.678,-0.184,0.749
6.4,-0.209,-1.152,-0.117,1.177
6.45,0.156,-0.418,-0.022,0.447
6.5,-0.121,-0.631,-0.411,0.763
6.55,-0.682,-1.201,0.446,1.452
6.6,0.761,-1.002,-0.575,1.383
6.65,-0.441,-1.001,0.069,1.096
6.7,-0.327,-0.838,-0.196,0.921
6.75,-0.984,-1.023,-0.019,1.419
6.8,-0.482,-0.952,-0.048,1.069
6.85,-0.247,-0.935,0.142,0.978
6.9,-0.322,-0.946,0.222,1.023
6.95,-0.162,-0.907,0.077,0.925
7.0,-0.177,-0.854,-0.16,0.887
7.05,-0.621,-0.831,0.024,1.038
7.1,-0.594,-0.92,0.018,1.095
7.15,-0.415,-0.82,0.019,0.92
7.2,-0.384,-0.941,0.061,1.019
7.25,-0.414,-0.933,0.055,1.022
7.3,-0.366,-0.906,0.028,0.977
7.35,-0.409,-0.898,0.002,0.987
7.4,-0.522,-0.942,0.111,1.082
7.45,-0.436,-0.985,0.089,1.081
7.5,-0.308,-0.957,0.118,1.012
7.55,-0.347,-0.964,0.115,1.031
7.6,-0.422,-0.903,0.012,0.996
7.65,-0.472,-0.78,0.107,0.918
7.7,-0.472,-0.827,0.005,0.953
7.75,-0.611,-0.937,-0.193,1.135
7.8,-0.42,-0.884,0.16,0.992
7.85,-0.41,-0.889,0.088,0.983
7.9,-0.354,-0.937,0.133,1.01
7.95,-0.322,-0.93,0.122,0.991
8.0,-0.362,-0.92,0.151,1.0
8.05,-0.398,-0.918,0.085,1.004
8.1,-0.369,-0.897,0.184,0.987
8.15,-0.335,-0.943,0.174,1.016
8.2,-0.38,-0.915,0.085,0.995
8.25,-0.386,-0.917,0.064,0.997
8.3,-0.394,-0.914,0.056,0.997
8.35,-0.389,-0.909,0.095,0.993
8.4,-0.376,-0.933,0.097,1.01
8.45,-0.381,-0.923,0.112,1.004
8.5,-0.361,-0.922,0.071,0.993
8.55,-0.35,-0.965,0.097,1.031
8.6,-0.343,-0.928,0.145,1.0
8.65,-0.367,-0.895,0.096,0.972
8.7,-0.425,-0.924,0.061,1.019
8.75,-0.374,-0.911,0.118,0.992
8.8,-0.435,-0.904,0.073,1.006
8.85,-0.476,-0.898,0.02,1.017
8.9,-0.403,-0.909,0.02,0.995
8.95,-0.357,-0.936,0.088,1.006
9.0,-0.348,-0.945,0.056,1.009
9.05,-0.271,-0.941,0.063,0.982
9.1,-0.387,-0.963,0.006,1.038
9.15,-0.35,-0.917,-0.005,0.982
9.2,-0.332,-0.944,0.087,1.004
9.25,-0.392,-0.935,0.036,1.014
9.3,-0.362,-0.92,0.086,0.993
9.35,-0.528,-0.937,-0.226,1.099
9.4,-0.365,-0.914,0.127,0.992
9.45,-0.392,-0.947,-0.01,1.025
9.5,-0.321,-0.95,0.096,1.007
9.55,-0.367,-0.932,0.035,1.002
9.6,-0.399,-0.932,0.01,1.014
9.65,-0.39,-0.924,0.041,1.004
9.7,-0.39,-0.913,0.054,0.995
9.75,-0.379,-0.93,-0.037,1.005
9.8,-0.418,-0.935,-0.04,1.024
9.85,-0.4,-0.921,0.019,1.005
9.9,-0.418,-0.911,0.011,1.003
9.95,-0.436,-0.921,0.024,1.02
10.0,-0.341,-0.915,0.079,0.979
10.05,-0.442,-0.928,-0.023,1.028
10.1,-0.393,-0.912,0.075,0.996
10.15,-0.408,-0.919,0.02,1.006
10.2,-0.394,-0.937,0.016,1.017
10.25,-0.348,-0.884,0.049,0.951
10.3,-0.425,-0.916,-0.013,1.01
10.35,-0.42,-0.909,-0.012,1.001
10.4,-0.391,-0.916,0.049,0.997
10.45,-0.357,-0.917,0.024,0.984
10.5,-0.31,-0.962,0.085,1.015
10.55,-0.397,-0.941,-0.101,1.026
10.6,-0.313,-0.954,0.118,1.011
10.65,-0.397,-0.964,-0.052,1.044
10.7,-0.307,-1.019,0.1,1.069
10.75,-0.422,-0.921,-0.023,1.013
10.8,-0.393,-0.95,0.03,1.029
10.85,-0.34,-0.925,0.036,0.986
10.9,-0.359,-0.941,0.08,1.011
10.95,-0.363,-0.926,0.029,0.995
11.0,-0.362,-0.977,-0.051,1.043
11.05,-0.401,-0.897,0.031,0.983
11.1,-0.449,-0.895,0.001,1.001
11.15,-0.46,-0.896,-0.051,1.008
11.2,-0.478,-0.859,-0.016,0.983
11.25,-0.361,-0.927,0.123,1.002
11.3,-0.272,-0.938,0.207,0.999
11.35,-0.284,-0.944,0.14,0.996
11.4,-0.307,-0.968,0.052,1.017
11.45,-0.537,-0.863,-0.03,1.017
11.5,-0.479,-0.91,0.013,1.029
11.55,-0.381,-0.938,0.064,1.015
11.6,-0.344,-0.917,0.05,0.981
11.65,-0.364,-0.921,0.054,0.991
11.7,-0.484,-0.867,-0.014,0.993
11.75,-0.454,-0.889,0.022,0.998
11.8,-0.378,-0.917,0.043,0.993
11.85,-0.365,-0.921,0.055,0.992
11.9,-0.403,-0.925,0.021,1.009
11.95,-0.437,-0.898,0.013,0.998
12.0,-0.458,-0.91,-0.014,1.019
12.05,-0.486,-0.869,-0.01,0.996
12.1,-0.483,-0.906,-0.007,1.026
12.15,-0.447,-0.913,-0.057,1.018
12.2,-0.423,-0.91,0.028,1.004
12.25,-0.401,-0.936,-0.004,1.018
12.3,-0.467,-0.891,0.044,1.006
12.35,-0.484,-0.904,-0.022,1.026
12.4,-0.395,-0.911,-0.005,0.993
12.45,-0.41,-0.9,-0.005,0.989
12.5,-0.06,-1.072,1.421,1.781
12.55,-0.374,-0.885,-0.096,0.965
12.6,-0.372,-0.925,0.012,0.997
12.65,-0.361,-0.951,-0.03,1.017
12.7,-0.323,-0.975,-0.049,1.028
12.75,-0.415,-0.933,-0.06,1.023
12.8,-0.392,-0.937,-0.074,1.018
12.85,-0.352,-0.922,-0.024,0.987
12.9,-0.311,-0.929,-0.074,0.982
12.95,-0.329,-0.943,-0.02,0.999
13.0,-0.304,-0.916,-0.034,0.966
13.05,-0.313,-0.948,-0.064,1.0
13.1,-0.391,-0.887,-0.068,0.972
13.15,-0.383,-0.885,-0.019,0.964
13.2,-0.343,-0.933,-0.05,0.995
13.25,-0.367,-0.931,-0.08,1.004
13.3,-0.356,-0.994,-0.085,1.059
13.35,-0.334,-1.054,-0.04,1.106
13.4,-0.266,-1.098,-0.053,1.13
13.45,-0.194,-1.206,0.022,1.222
13.5,-0.618,-1.121,0.079,1.283
13.55,-0.679,-0.956,0.102,1.177
13.6,-0.402,-0.743,-0.12,0.853
13.65,-0.5,-1.077,-0.062,1.189
13.7,-0.445,-0.973,0.197,1.088
13.75,-0.326,-0.843,0.115,0.911
13.8,-0.454,-0.831,0.2,0.968
13.85,-0.374,-0.819,0.124,0.909
13.9,-0.353,-0.79,0.318,0.922
13.95,-0.219,-0.813,0.415,0.938
14.0,-0.231,-0.756,0.322,0.854
14.05,-0.201,-0.699,0.351,0.808
14.1,-0.262,-0.88,0.456,1.025
14.15,-0.205,-1.049,0.709,1.282
14.2,-0.118,-0.825,0.628,1.043
14.25,-0.47,-0.809,0.38,1.01
14.3,-0.393,-1.414,0.245,1.488
14.35,-0.602,-0.229,0.019,0.644
14.4,-0.251,-1.435,-0.173,1.467
14.45,-0.543,-0.627,0.134,0.84
14.5,-0.573,-0.732,0.042,0.93
14.55,-0.137,-1.005,0.071,1.017
14.6,-0.199,-0.889,0.158,0.924
14.65,-0.349,-0.934,-0.004,0.998
14.7,-0.428,-0.847,0.043,0.95
14.75,-0.491,-0.861,-0.017,0.991
14.8,-0.324,-0.927,-0.042,0.983
14.85,-0.336,-0.904,-0.06,0.966
14.9,-0.398,-0.985,-0.028,1.063
14.95,-0.325,-1.094,-0.021,1.142
15.0,-0.282,-1.083,0.077,1.121
15.05,-0.087,-1.319,0.096,1.325
15.1,-0.649,-1.281,0.21,1.451
15.15,-0.994,-0.652,-0.138,1.197
15.2,-0.289,-1.157,-0.108,1.197
15.25,-0.667,-1.076,0.23,1.286
15.3,-0.416,-0.733,0.094,0.849
15.35,-0.401,-0.847,0.143,0.948
15.4,-0.513,-0.688,0.066,0.86
15.45,-0.329,-0.745,0.275,0.86
15.5,-0.291,-0.716,0.379,0.861
15.55,-0.194,-0.649,0.294,0.738
15.6,-0.18,-0.645,0.33,0.747
15.65,-0.096,-1.065,0.677,1.265
15.7,-0.112,-1.38,0.995,1.705
15.75,-0.235,-0.359,0.434,0.61
15.8,-1.413,-1.042,0.402,1.801
15.85,-0.444,-0.655,-0.266,0.835
15.9,-0.416,-0.21,-0.337,0.575
15.95,-0.3,-1.415,0.235,1.465
16.0,-0.553,-0.562,0.056,0.79
16.05,-0.478,-0.876,0.097,1.003
16.1,-0.215,-1.068,0.156,1.101
16.15,-0.214,-0.906,-0.075,0.934
16.2,-0.376,-0.872,0.087,0.953
16.25,-0.576,-0.793,-0.11,0.986
16.3,-0.507,-0.913,-0.104,1.05
16.35,-0.243,-0.925,0.013,0.957
16.4,-0.285,-1.048,-0.044,1.087
16.45,-0.41,-1.119,-0.047,1.193
16.5,-0.496,-0.997,0.117,1.119
16.55,-0.002,-1.307,0.075,1.309
16.6,-0.969,-0.99,0.067,1.387
16.65,-0.754,-0.821,-0.366,1.174
16.7,-0.54,-1.025,0.23,1.181
16.75,-0.719,-0.76,0.158,1.058
16.8,-0.253,-0.902,0.158,0.95
16.85,-0.536,-0.739,0.094,0.918
16.9,-0.535,-0.594,0.107,0.806
16.95,-0.375,-0.689,0.321,0.847
17.0,-0.157,-0.691,0.372,0.801
17.05,-0.133,-0.662,0.422,0.796
17.1,-0.193,-0.909,0.673,1.147
17.15,-0.157,-1.245,0.811,1.495
17.2,-0.153,-0.909,0.828,1.24
17.25,-1.772,-1.23,0.638,2.249
17.3,-0.412,-0.409,-0.169,0.605
17.35,-0.391,-0.291,-0.271,0.557
17.4,-0.437,-1.373,0.411,1.498
17.45,-0.613,-0.437,-0.019,0.753
17.5,-0.453,-0.721,-0.002,0.851
17.55,-0.323,-1.047,0.22,1.117
17.6,-0.294,-0.871,-0.034,0.92
17.65,-0.379,-0.807,0.065,0.894
17.7,-0.504,-0.854,0.021,0.992
17.75,-0.383,-0.941,-0.099,1.021
17.8,-0.434,-0.911,-0.034,1.01
17.85,-0.381,-1.077,0.034,1.144
17.9,-0.191,-1.107,0.025,1.123
17.95,-0.223,-1.287,0.135,1.313
18.0,-0.281,-1.259,0.231,1.311
18.05,-0.861,-0.707,-0.311,1.157
18.1,-0.506,-1.18,0.021,1.284
18.15,-0.889,-0.886,0.267,1.283
18.2,-0.205,-0.819,0.128,0.854
18.25,-0.368,-0.814,0.174,0.91
18.3,-0.605,-0.596,0.171,0.867
18.35,-0.427,-0.583,0.144,0.737
18.4,-0.301,-0.575,0.363,0.743
18.45,-0.3,-0.615,0.361,0.773
18.5,-0.289,-1.001,0.813,1.322
18.55,-0.1,-1.37,0.837,1.608
18.6,-0.07,-0.424,0.591,0.731
18.65,-1.418,-1.033,0.789,1.923
18.7,-0.586,-0.3,-0.154,0.676
18.75,-0.161,-1.085,-0.458,1.189
18.8,-0.383,-1.573,0.22,1.634
18.85,-0.559,-0.464,0.109,0.735
18.9,-0.495,-0.822,0.12,0.967
18.95,-0.375,-0.904,0.122,0.986
19.0,-0.339,-0.897,0.034,0.959
19.05,-0.464,-0.877,-0.02,0.993
19.1,-0.621,-0.847,-0.076,1.053
19.15,-0.427,-0.91,0.003,1.005
19.2,-0.335,-0.97,-0.001,1.026
19.25,-0.256,-1.08,0.027,1.11
19.3,-0.355,-0.997,0.172,1.072
19.35,-0.191,-1.313,0.184,1.34
19.4,-1.334,-0.86,-0.179,1.597
19.45,-0.915,-0.991,-0.283,1.378
19.5,-0.571,-0.856,0.205,1.05
19.55,-0.564,-0.723,0.141,0.928
19.6,-0.389,-0.747,0.193,0.864
19.65,-0.659,-0.557,0.048,0.864
19.7,-0.532,-0.594,0.285,0.847
19.75,-0.2,-0.674,0.44,0.83
19.8,-0.138,-0.613,0.389,0.739
19.85,-0.236,-0.828,0.439,0.967
19.9,-0.408,-1.172,0.895,1.53
19.95,-0.335,-0.929,0.904,1.339
20.0,-0.426,-0.469,0.299,0.701
20.05,-1.768,-1.793,-0.012,2.519
20.1,-0.839,0.361,0.103,0.919
20.15,-0.661,-1.706,-0.474,1.89
20.2,-0.171,-0.902,0.436,1.017
20.25,-0.53,-0.63,0.121,0.832
20.3,-0.427,-1.011,-0.044,1.099
20.35,-0.294,-0.862,0.145,0.922
20.4,-0.41,-0.824,0.006,0.92
20.45,-0.551,-0.762,0.009,0.94
20.5,-0.591,-0.906,-0.058,1.083
20.55,-0.396,-0.934,-0.025,1.015
20.6,-0.514,-0.995,-0.014,1.121
20.65,-0.441,-1.071,0.037,1.159
20.7,-0.316,-1.031,0.085,1.082
20.75,-0.221,-1.214,0.138,1.242
20.8,-1.114,-0.861,0.078,1.41
20.85,-1.034,-0.703,-0.331,1.294
20.9,-0.567,-1.134,-0.125,1.274
20.95,-0.814,-0.794,0.247,1.164
21.0,-0.403,-0.787,0.126,0.893
21.05,-0.585,-0.635,0.074,0.866
21.1,-0.581,-0.524,0.008,0.782
21.15,-0.468,-0.579,0.324,0.812
21.2,-0.264,-0.569,0.389,0.738
21.25,-0.345,-0.622,0.384,0.808
21.3,-0.357,-0.817,0.536,1.04
