time,gFx,gFy,gFz,tgF
0,-0.022,0.298,0.91,0.958
.05,-0.034,0.294,0.928,0.974
.1,0.005,0.261,1.023,1.056
.15,-0.011,0.281,0.98,1.019
.2,0.035,0.286,0.947,0.99
.25,0.047,0.306,0.932,0.982
.3,0.03,0.337,0.901,0.963
.35,0.014,0.347,0.891,0.956
.4,0.069,0.316,0.916,0.972
.45,0.03,0.324,0.908,0.964
.5,0.03,0.341,0.893,0.956
.55,0.058,0.363,0.871,0.945
.6,-0.014,0.41,0.806,0.904
.65,-0.039,0.428,0.924,1.019
.7,0.005,0.396,0.922,1.003
.75,0.012,0.368,0.941,1.011
.8,0.036,0.369,0.99,1.057
.85,0.042,0.366,0.962,1.031
.9,0.068,0.377,0.926,1.002
.95,0.089,0.382,0.872,0.956
1.0,0.084,0.372,0.928,1.003
1.05,0.079,0.377,0.91,0.988
1.1,0.116,0.384,0.922,1.005
1.15,-0.022,0.378,1.079,1.143
1.2,-0.063,0.433,0.489,0.656
1.25,-0.022,0.43,0.721,0.84
1.3,0.013,0.329,1.002,1.055
1.35,0.041,0.321,1.016,1.066
1.4,0.011,0.328,0.939,0.995
1.45,0.002,0.344,0.888,0.952
1.5,-0.006,0.332,0.907,0.966
1.55,0.006,0.348,0.878,0.944
1.6,-0.007,0.351,0.884,0.951
1.65,-0.014,0.322,0.968,1.02
1.7,-0.014,0.322,0.947,1.0
1.75,-0.007,0.312,0.955,1.005
1.8,0.003,0.313,0.953,1.003
1.85,-0.006,0.308,0.941,0.99
1.9,0.003,0.305,0.932,0.981
1.95,0.005,0.293,0.967,1.01
2.0,0.021,0.278,0.963,1.002
2.05,0.009,0.272,0.948,0.986
2.1,0.018,0.28,0.914,0.956
2.15,0.013,0.272,0.917,0.956
2.2,0.025,0.278,0.921,0.962
2.25,0.027,0.272,0.955,0.993
2.3,0.037,0.282,0.927,0.969
2.35,0.038,0.277,0.954,0.994
2.4,0.037,0.274,0.975,1.014
2.45,0.039,0.286,0.936,0.98
2.5,0.039,0.278,0.952,0.992
2.55,0.038,0.272,0.946,0.985
2.6,0.036,0.268,0.954,0.991
2.65,0.031,0.262,0.945,0.981
2.7,0.028,0.266,0.941,0.978
2.75,0.028,0.27,0.934,0.973
2.8,0.031,0.276,0.932,0.973
2.85,0.037,0.268,0.945,0.984
2.9,0.049,0.273,0.919,0.96
2.95,0.062,0.271,0.923,0.964
3.0,0.044,0.219,0.934,0.96
3.05,-0.02,0.23,1.089,1.113
3.1,0.007,0.299,0.745,0.803
3.15,-0.151,0.43,0.862,0.975
3.2,0.122,0.337,0.848,0.92
3.25,0.21,0.314,1.05,1.116
3.3,0.038,0.456,1.016,1.114
3.35,0.187,0.386,0.985,1.074
3.4,0.026,0.431,0.883,0.983
3.45,0.082,0.496,0.896,1.028
3.5,-0.012,0.471,0.894,1.01
3.55,0.031,0.428,0.84,0.943
3.6,-0.045,0.433,0.932,1.028
3.65,0.011,0.468,0.803,0.929
3.7,-0.065,0.551,0.826,0.995
3.75,-0.039,0.468,0.891,1.007
3.8,0.022,0.459,0.937,1.043
3.85,-0.127,0.56,0.735,0.933
3.9,0.009,0.531,0.803,0.962
3.95,0.059,0.545,0.812,0.98
4.0,0.329,0.632,0.576,0.917
4.05,0.239,0.587,1.335,1.478
4.1,0.192,0.66,1.343,1.509
4.15,0.263,0.787,1.336,1.573
4.2,0.174,0.612,1.023,1.204
4.25,0.122,0.612,0.738,0.966
4.3,0.136,0.538,0.603,0.819
4.35,-0.014,0.305,0.252,0.396
4.4,0.144,0.322,0.062,0.358
4.45,0.146,0.324,0.161,0.39
4.5,-0.01,0.256,0.256,0.362
4.55,0.14,0.287,0.54,0.627
4.6,0.079,0.205,0.561,0.602
4.65,0.043,0.118,0.828,0.837
4.7,-0.159,-0.053,1.017,1.03
4.75,-0.046,-0.098,1.361,1.366
4.8,-0.209,-0.2,1.453,1.482
4.85,-0.418,-0.376,1.408,1.516
4.9,-0.166,-0.259,1.419,1.452
4.95,-0.458,-0.231,1.143,1.253
5.0,-0.938,-0.56,1.264,1.671
5.05,-0.764,-0.481,0.573,1.07
5.1,-0.747,-0.516,0.258,0.944
5.15,-0.566,-0.417,0.5,0.863
5.2,-0.63,-0.423,0.452,0.883
5.25,-0.725,-0.573,0.231,0.952
5.3,-0.632,-0.512,0.292,0.865
5.35,-0.765,-0.563,0.289,0.993
5.4,-0.925,-0.601,0.294,1.142
5.45,-0.524,-0.414,0.292,0.729
5.5,-0.683,-0.667,0.04,0.956
5.55,-0.604,-0.699,0.05,0.925
5.6,-0.469,-0.838,0.154,0.973
5.65,-0.607,-1.016,-0.124,1.19
5.7,-0.34,-1.024,-0.172,1.093
5.75,-0.408,-1.037,0.193,1.131
5.8,-0.128,-1.048,0.203,1.075
5.85,-0.15,-0.747,0.068,0.765
5.9,-0.048,-0.734,0.152,0.751
5.95,0.115,-0.657,0.022,0.668
6.0,0.071,-0.998,-0.045,1.002
6.05,0.212,-0.385,-0.061,0.443
6.1,0.318,-0.803,-0.07,0.867
6.15,0.233,-2.209,-0.083,2.223
6.2,0.403,-0.702,0.26,0.85
6.25,0.297,-0.922,0.125,0.976
6.3,0.435,-0.878,0.041,0.981
6.35,0.421,-0.886,-0.058,0.983
6.4,0.401,-0.909,0.004,0.994
6.45,0.296,-0.932,0.012,0.978
6.5,0.286,-0.966,0.028,1.008
6.55,0.32,-0.949,0.018,1.002
6.6,0.348,-0.923,-0.048,0.988
6.65,0.364,-0.909,-0.044,0.98
6.7,0.376,-0.948,-0.127,1.028
6.75,0.356,-0.872,-0.032,0.942
6.8,0.413,-0.919,-0.082,1.011
6.85,0.365,-0.912,-0.099,0.988
6.9,0.392,-0.919,-0.137,1.009
6.95,0.415,-0.911,-0.081,1.004
7.0,0.386,-0.905,-0.108,0.989
7.05,0.428,-0.911,-0.113,1.013
7.1,0.456,-0.898,-0.075,1.01
7.15,0.454,-0.892,-0.088,1.005
7.2,0.421,-0.908,-0.088,1.004
7.25,0.392,-0.914,-0.092,0.999
7.3,0.392,-0.909,-0.073,0.993
7.35,0.398,-0.906,-0.075,0.992
7.4,0.396,-0.901,-0.084,0.988
7.45,0.381,-0.914,-0.085,0.994
7.5,0.403,-0.908,-0.065,0.996
7.55,0.406,-0.909,-0.102,1.0
7.6,0.404,-0.904,-0.092,0.995
7.65,0.398,-0.908,-0.055,0.993
7.7,0.399,-0.906,-0.066,0.992
7.75,0.442,-0.899,-0.069,1.004
7.8,0.454,-0.892,-0.08,1.003
7.85,0.443,-0.885,-0.092,0.994
7.9,0.425,-0.912,-0.077,1.009
7.95,0.409,-0.908,-0.014,0.996
8.0,0.409,-0.909,-0.037,0.997
8.05,0.412,-0.9,-0.093,0.994
8.1,0.389,-0.888,-0.094,0.974
8.15,0.364,-0.893,-0.068,0.966
8.2,0.33,-0.926,-0.04,0.984
8.25,0.329,-0.945,0.009,1.0
8.3,0.365,-0.966,0.046,1.034
8.35,0.376,-0.944,0.02,1.016
8.4,0.356,-0.9,-0.054,0.969
8.45,0.377,-0.87,-0.084,0.952
8.5,0.374,-0.87,-0.06,0.949
8.55,0.404,-0.912,-0.048,0.998
8.6,0.449,-0.971,0.005,1.07
8.65,0.402,-0.969,0.06,1.051
8.7,0.346,-0.902,-0.042,0.967
8.75,0.398,-0.885,-0.05,0.972
