time,gFx,gFy,gFz,tgF
0,-0.083,0.32,0.939,0.996
.05,-0.036,0.342,0.996,1.054
.10,-0.018,0.372,0.923,0.996
.15,-0.026,0.364,0.895,0.966
.20,-0.004,0.373,0.916,0.989
.25,-0.03,0.364,0.931,1.0
.30,-0.036,0.353,0.942,1.007
.35,-0.027,0.357,0.942,1.007
.40,-0.036,0.366,0.917,0.988
.45,-0.01,0.383,0.922,0.999
.50,-0.022,0.373,0.946,1.017
.55,-0.028,0.373,0.936,1.008
.60,-0.042,0.371,0.908,0.982
.65,-0.011,0.388,0.881,0.962
.70,-0.046,0.371,0.864,0.941
.75,-0.015,0.4,0.825,0.917
.80,-0.002,0.397,0.936,1.017
.85,-0.023,0.376,0.885,0.961
.90,0.023,0.391,0.924,1.003
.95,-0.041,0.351,0.88,0.948
1.00,-0.043,0.3,0.928,0.976
1.05,0.021,0.351,1.024,1.082
1.10,-0.017,0.303,0.958,1.005
1.15,0.003,0.378,0.996,1.066
1.20,-0.044,0.4,0.938,1.021
1.25,-0.038,0.428,0.847,0.95
1.30,-0.065,0.421,0.857,0.957
1.35,-0.026,0.42,0.9,0.993
1.40,-0.098,0.363,0.882,0.959
1.45,-0.045,0.391,0.921,1.001
1.50,-0.056,0.377,0.914,0.99
1.55,-0.074,0.335,0.939,1.0
1.60,-0.078,0.385,0.872,0.956
1.65,-0.062,0.379,0.868,0.949
1.70,0.011,0.394,0.863,0.949
1.75,-0.022,0.375,0.959,1.03
1.80,-0.007,0.375,0.928,1.001
1.85,-0.017,0.35,0.884,0.951
1.90,-0.014,0.323,1.018,1.068
1.95,0.039,0.324,0.97,1.024
2.00,-0.035,0.266,0.985,1.021
2.05,-0.081,0.255,0.988,1.023
2.10,-0.037,0.301,0.939,0.987
2.15,-0.021,0.311,0.945,0.995
2.20,-0.029,0.303,0.921,0.97
2.25,-0.009,0.295,0.941,0.986
2.30,-0.032,0.279,0.956,0.997
2.35,-0.026,0.284,0.99,1.03
2.40,0.033,0.369,0.903,0.976
2.45,0.018,0.335,0.928,0.987
2.50,0.007,0.313,0.903,0.956
2.55,0.0,0.298,0.919,0.966
2.60,-0.067,0.189,1.033,1.052
2.65,0.024,0.285,0.997,1.037
2.70,-0.02,0.266,0.893,0.932
2.75,-0.021,0.284,0.942,0.984
2.80,-0.0,0.322,0.843,0.902
2.85,-0.027,0.249,1.015,1.045
2.90,-0.017,0.256,0.972,1.005
2.95,-0.01,0.273,0.963,1.001
3.00,-0.05,0.222,0.968,0.994
3.05,-0.069,0.198,0.948,0.971
3.10,-0.134,0.106,1.024,1.039
3.15,-0.214,0.011,1.078,1.099
3.20,-0.164,0.034,1.014,1.028
3.25,-0.052,0.161,0.984,0.999
3.30,-0.12,0.204,0.912,0.942
3.35,-0.067,0.277,0.813,0.861
3.40,0.05,0.343,0.883,0.949
3.45,0.124,0.393,0.921,1.009
3.50,-0.003,0.257,1.04,1.071
3.55,-0.059,0.178,1.028,1.045
3.60,-0.072,0.198,0.999,1.021
3.65,-0.046,0.141,0.986,0.997
3.70,-0.063,0.189,0.911,0.932
3.75,-0.114,0.046,0.902,0.91
3.80,-0.066,-0.088,1.032,1.037
3.85,-0.041,0.035,0.961,0.963
3.90,0.034,0.016,1.002,1.003
3.95,-0.032,-0.064,1.018,1.021
4.00,0.144,0.193,0.883,0.915
4.05,0.179,-0.036,0.941,0.959
4.10,0.105,-0.066,0.91,0.919
4.15,0.049,-0.158,1.093,1.105
4.20,0.06,-0.187,0.911,0.932
4.25,0.086,-0.133,1.047,1.059
4.30,0.046,-0.156,0.96,0.974
4.35,0.16,-0.075,0.96,0.976
4.40,0.08,-0.183,0.984,1.004
4.45,0.125,-0.125,0.933,0.949
4.50,0.085,-0.196,0.936,0.96
4.55,0.041,-0.211,0.917,0.941
4.60,0.11,-0.149,0.932,0.95
4.65,0.06,-0.234,0.972,1.001
4.70,0.058,-0.205,0.863,0.889
4.75,0.073,-0.23,1.055,1.082
4.80,0.051,-0.215,0.867,0.894
4.85,0.046,-0.17,0.943,0.959
4.90,0.011,-0.306,0.887,0.938
4.95,0.037,-0.334,0.98,1.036
5.00,0.067,-0.261,0.898,0.938
5.05,0.074,-0.363,0.932,1.003
5.10,0.113,-0.342,0.911,0.98
5.15,0.157,-0.403,0.943,1.037
5.20,0.135,-0.345,0.985,1.052
5.25,0.109,-0.282,0.904,0.953
5.30,0.139,-0.289,0.932,0.986
5.35,0.15,-0.283,0.901,0.956
5.40,0.153,-0.285,0.914,0.97
5.45,0.151,-0.363,0.9,0.982
5.50,0.152,-0.299,0.902,0.962
5.55,0.2,-0.312,0.965,1.034
5.60,0.199,-0.3,0.888,0.958
5.65,0.238,-0.173,0.927,0.972
5.70,0.209,0.014,0.825,0.851
5.75,0.216,-0.126,0.81,0.848
5.80,0.064,-0.509,1.071,1.188
5.85,0.063,-0.553,0.708,0.901
5.90,0.085,-0.416,1.014,1.099
5.95,0.142,-0.463,0.861,0.988
6.00,0.174,-0.478,0.833,0.976
6.05,0.126,-0.604,0.816,1.023
6.10,0.131,-0.664,0.851,1.088
6.15,0.117,-0.546,0.811,0.985
6.20,0.147,-0.578,0.806,1.003
6.25,0.13,-0.531,0.826,0.99
6.30,0.123,-0.568,0.789,0.98
6.35,0.107,-0.613,0.801,1.014
6.40,0.03,-0.403,0.852,0.943
6.45,0.079,-0.551,0.827,0.997
6.50,0.133,-0.536,0.804,0.975
6.55,0.129,-0.552,0.798,0.979
6.60,0.154,-0.583,0.756,0.967
6.65,0.147,-0.678,0.808,1.066
6.70,0.099,-0.288,0.826,0.881
6.75,0.068,-0.647,0.786,1.02
6.80,0.078,-0.585,0.827,1.016
6.85,0.106,-0.484,0.785,0.928
6.90,0.106,-0.402,0.813,0.914
6.95,0.118,-0.47,0.76,0.901
7.00,0.005,-0.653,0.791,1.026
7.05,0.051,-0.609,0.855,1.051
7.10,0.051,-0.788,0.802,1.126
7.15,0.091,-0.658,0.782,1.026
7.20,0.119,-0.604,0.822,1.027
7.25,0.177,-0.623,0.773,1.009
7.30,0.177,-0.61,0.735,0.972
7.35,0.148,-0.683,0.757,1.03
7.40,0.19,-0.665,0.872,1.113
7.45,0.147,-0.622,0.841,1.056
7.50,0.129,-0.56,0.855,1.03
7.55,0.128,-0.306,0.855,0.917
7.60,0.091,-0.343,0.693,0.779
7.65,0.23,-0.295,0.828,0.909
7.70,0.203,-0.356,0.895,0.985
7.75,0.067,-0.447,0.998,1.095
7.80,0.1,-0.391,0.987,1.066
7.85,0.189,-0.286,0.874,0.938
7.90,0.189,-0.229,0.867,0.917
7.95,0.154,-0.213,0.881,0.919
8.00,0.166,-0.245,0.921,0.968
8.05,0.17,-0.325,0.926,0.996
8.10,0.198,-0.343,0.95,1.029
8.15,0.205,-0.384,0.975,1.068
8.20,0.219,-0.372,0.985,1.076
8.25,0.182,-0.285,0.982,1.038
8.30,0.186,-0.183,0.966,1.001
8.35,0.07,-0.096,0.875,0.883
8.40,0.128,-0.07,0.953,0.965
8.45,0.107,0.033,0.953,0.96
8.50,0.126,0.003,0.91,0.919
8.55,0.163,0.071,0.936,0.952
8.60,0.18,-0.024,0.93,0.948
8.65,0.213,0.048,1.038,1.061
8.70,0.109,-0.047,0.965,0.972
